user_id,order_number,product_id,eval_set
1069,1,9556439880610,prior
1069,1,4710176008699,prior
1069,2,4710022101208,prior
1069,2,4712603661644,prior
1069,2,4710320224661,prior
1069,3,22000167620,prior
1069,3,4710011402026,prior
1069,3,4903101125107,prior
1069,3,4710176008699,prior
1069,3,4710088620156,prior
1069,4,4712162000038,train
1113,1,4902105011621,prior
1113,1,4711271000014,prior
1113,2,4710892632017,prior
1113,2,7616100830794,prior
1113,2,4902105011621,prior
1113,3,4710114606048,prior
1113,3,4712076000650,prior
1113,3,4710905340113,prior
1113,3,4710114105046,prior
1113,3,4712425010712,prior
1113,3,4717362901277,prior
1113,4,4710254015014,train
1113,4,4710254015021,train
1113,4,4901734003182,train
1113,4,9556001589101,train
1113,4,4710088620750,train
1113,4,37000440147,train
1113,4,4710008251125,train
1823,1,4714276145315,prior
1823,1,4710076132036,prior
1823,1,300410824006,prior
1823,1,300410824105,prior
1823,1,20398576,prior
1823,1,4710085120628,prior
1823,1,4710085172696,prior
1823,1,300410855611,prior
1823,1,4710085172702,prior
1823,2,4714276145315,prior
1823,2,4711713493398,prior
1823,3,4710126392175,train
1823,3,4710114128038,train
1823,3,78698703015,train
3667,1,20373849,prior
3667,1,5010415080073,prior
3667,1,20452735,prior
3667,2,4718480165220,prior
3667,2,4718480165268,prior
3667,3,5010415080073,prior
3667,3,4716545000202,prior
3667,3,4973655700921,prior
3667,3,4903101125107,prior
3667,3,20373849,prior
3667,3,20452735,prior
3667,4,4710088620156,train
3667,4,4712987110677,train
5241,1,3228020160321,prior
5241,1,4715874001027,prior
5241,1,4710110221443,prior
5241,1,4710498211111,prior
5241,1,4711039233227,prior
5241,1,8801083001173,prior
5241,2,4713045028033,prior
5241,2,4902750657571,prior
5241,2,2100047002123,prior
5241,2,4711408000269,prior
5241,2,4985636900015,prior
5241,2,21000767472,prior
5241,2,89782019059,prior
5241,2,4710047504343,prior
5241,2,4738888020730,prior
5241,2,4710047504763,prior
5241,3,4710046011552,prior
5241,3,4714499920225,prior
5241,3,4710008241218,prior
5241,3,4710088414113,prior
5241,3,4710626564966,prior
5241,3,20279431,prior
5241,3,4710967900232,prior
5241,3,4710426240039,prior
5241,3,4710088414120,prior
5241,3,4710105040523,prior
5241,3,4710498601998,prior
5241,3,4710088411440,prior
5241,3,4710110241175,prior
5241,3,4710498236251,prior
5241,3,4710731060124,prior
5241,3,4710088412126,prior
5241,4,4710043102017,train
5241,4,4902402376744,train
5241,4,4711686006090,train
5241,4,4710032700026,train
5241,4,4711039232190,train
5517,1,5099831190146,prior
5517,1,8888420881162,prior
5517,1,4710011417099,prior
5517,1,4710498124428,prior
5517,1,4710498128013,prior
5517,1,4710254011665,prior
5517,1,4711926725651,prior
5517,1,4710762101018,prior
5517,1,4710189810203,prior
5517,1,4710762101025,prior
5517,1,4710697576226,prior
5517,1,4710038416037,prior
5517,1,4710762101032,prior
5517,1,4710126193451,prior
5517,1,4710011406123,prior
5517,1,20566067,prior
5517,1,4712494217395,prior
5517,1,4710126092723,prior
5517,1,4710254011702,prior
5517,1,4710731052600,prior
5517,1,4710171084216,prior
5517,1,4710475004224,prior
5517,1,614632560070,prior
5517,1,4710762101063,prior
5517,1,4710475004231,prior
5517,1,4710120002124,prior
5517,1,4904511001425,prior
5517,1,4901360224081,prior
5517,1,4711606131031,prior
5517,1,4710043552102,prior
5517,1,4710254011634,prior
5517,1,4714692202999,prior
5517,1,4710254011641,prior
5517,1,4710357303803,prior
5517,1,4710357304701,prior
5517,1,4710583110015,prior
5517,2,78895740042,prior
5517,2,4710011408011,prior
5517,2,4710088414090,prior
5517,2,4710461070479,prior
5517,2,4710088411792,prior
5517,2,4710247006227,prior
5517,2,2250271001239,prior
5517,2,4710468215576,prior
5517,2,4710011408028,prior
5517,2,4710093060381,prior
5517,2,20421410,prior
5517,2,4710461070370,prior
5517,2,4710126194083,prior
5517,2,4710022531494,prior
5517,2,4897878020010,prior
5517,2,4712054702255,prior
5517,2,4710314436018,prior
5517,2,4711587808953,prior
5517,2,4710706221758,prior
5517,2,4715890102463,prior
5517,2,4710088412225,prior
5517,2,4710498213702,prior
5517,2,4710011432825,prior
5517,2,381514983004,prior
5517,2,4711767670110,prior
5517,2,4710008241119,prior
5517,2,4904637230563,prior
5517,2,4710171028326,prior
5517,2,4710321880170,prior
5517,2,4710008242154,prior
5517,2,4710126091511,prior
5517,2,4711186400121,prior
5517,3,2250078000640,train
5517,3,4710247006593,train
5517,3,9310042238981,train
5517,3,4710498124428,train
5517,3,4710498128013,train
5517,3,4710363228305,train
5517,3,4710670200209,train
5517,3,4710254011672,train
5517,3,4710731060124,train
5517,3,4710093060381,train
5517,3,4710054139422,train
5517,3,4901301036063,train
5517,3,4710670200100,train
5517,3,4710038416037,train
5517,3,4710054145324,train
5517,3,4711186500012,train
5517,3,4710498354351,train
5517,3,4987072125106,train
5517,3,4710363911610,train
5517,3,4710475004224,train
5517,3,4714981011011,train
5517,3,4903065141700,train
5517,3,4710175567173,train
5517,3,4710475004231,train
5517,3,4711271000014,train
5517,3,4710032604751,train
5517,3,4710320224340,train
5517,3,8851111202645,train
5517,3,4710114105046,train
5517,3,4710670200407,train
5517,3,4710168302040,train
5517,3,4711572001116,train
5517,3,4710583996008,train
5517,3,4710254031854,train
5517,3,4710254011634,train
5517,3,4901301038708,train
5517,3,4710008251125,train
5517,3,2250078000633,train
6668,1,4710466101130,prior
6668,1,4710068331126,prior
6668,1,4714981010038,prior
6668,1,4711634002747,prior
6668,1,4710247007422,prior
6668,2,4711524000419,prior
6668,2,4711524000617,prior
6668,2,4711524000396,prior
6668,2,4710467221516,prior
6668,2,4971883203085,prior
6668,2,4903065062128,prior
6668,2,4711885250034,prior
6668,2,4711524000471,prior
6668,2,4711634002297,prior
6668,3,4710908131824,prior
6668,3,4710114361114,prior
6668,3,4903301203643,prior
6668,4,20412074,prior
6668,4,4710063138034,prior
6668,4,4710492321038,prior
6668,5,4711763001048,prior
6668,5,4711763001017,prior
6668,5,4715875000029,prior
6668,5,4710032501784,prior
6668,6,4710036038033,prior
6668,6,4710515537026,prior
6668,6,4710085120628,prior
6668,6,4716999010116,prior
6668,7,4710291112172,prior
6668,7,4711271000014,prior
6668,7,4903065062128,prior
6668,7,4711564801267,prior
6668,7,4710038415030,prior
6668,8,4710492321038,prior
6668,8,4891975000487,prior
6668,9,4710120560129,prior
6668,9,4710892201275,prior
6668,9,4710303340326,prior
6668,10,74261160506,prior
6668,10,4710494000054,prior
6668,11,4710175565605,train
6668,11,4710030111206,train
6668,11,4710303340326,train
6668,11,4710265849066,train
6668,11,4710467221516,train
6668,11,4710175565711,train
7795,1,4710718301318,prior
7795,1,4710323168016,prior
7795,1,4710114221203,prior
7795,1,4710626111511,prior
7795,1,4713045603100,prior
7795,1,4710466103073,prior
7795,1,4714617165224,prior
7795,1,4718085007147,prior
7795,1,4710362020016,prior
7795,1,4711713350066,prior
7795,1,4710311811511,prior
7795,1,2270073001275,prior
7795,1,4710367807421,prior
7795,1,4710177036110,prior
7795,1,4710036006223,prior
7795,1,4713888701520,prior
7795,1,2270022003411,prior
7795,1,4714082270041,prior
7795,1,4710498234202,prior
7795,1,4710114606048,prior
7795,1,4710030110308,prior
7795,1,4710012721515,prior
7795,1,4711128778998,prior
7795,1,8712045012727,prior
7795,2,4718433613303,prior
7795,2,28851030212,prior
7795,2,50000301829,prior
7795,2,20515430,prior
7795,2,4710091111719,prior
7795,2,5503021224004,prior
7795,2,4718433613228,prior
7795,2,20522285,prior
7795,2,4710032604751,prior
7795,2,4710036000849,prior
7795,2,4710883000146,prior
