index,user_id,order_number,product_id,eval_set
0,1,1,1,prior
1,1,1,2,prior
2,1,2,3,prior
3,1,2,4,prior
4,1,2,5,prior
5,1,3,6,prior
6,1,3,7,prior
7,1,3,8,prior
8,1,3,2,prior
9,1,3,9,prior
10,1,4,10,train
11,2,1,11,prior
12,2,1,12,prior
13,2,2,13,prior
14,2,2,14,prior
15,2,2,11,prior
16,2,3,15,prior
17,2,3,16,prior
18,2,3,17,prior
19,2,3,18,prior
20,2,3,19,prior
21,2,3,20,prior
22,2,4,21,train
23,2,4,22,train
24,2,4,23,train
25,2,4,24,train
26,2,4,25,train
27,2,4,26,train
28,2,4,27,train
29,3,1,28,prior
30,3,1,29,prior
31,3,1,30,prior
32,3,1,31,prior
33,3,1,32,prior
34,3,1,33,prior
35,3,1,34,prior
36,3,1,35,prior
37,3,1,36,prior
38,3,2,28,prior
39,3,2,37,prior
40,3,3,38,train
41,3,3,39,train
42,3,3,40,train
43,4,1,41,prior
44,4,1,42,prior
45,4,1,43,prior
46,4,2,44,prior
47,4,2,45,prior
48,4,3,42,prior
49,4,3,46,prior
50,4,3,47,prior
51,4,3,8,prior
52,4,3,41,prior
53,4,3,43,prior
54,4,4,9,train
55,4,4,48,train
56,5,1,49,prior
57,5,1,50,prior
58,5,1,51,prior
59,5,1,52,prior
60,5,1,53,prior
61,5,1,54,prior
62,5,2,55,prior
63,5,2,56,prior
64,5,2,57,prior
65,5,2,58,prior
66,5,2,59,prior
67,5,2,60,prior
68,5,2,61,prior
69,5,2,62,prior
71,5,2,63,prior
72,5,3,64,prior
73,5,3,65,prior
74,5,3,66,prior
75,5,3,67,prior
76,5,3,68,prior
77,5,3,69,prior
78,5,3,70,prior
79,5,3,71,prior
80,5,3,72,prior
81,5,3,73,prior
82,5,3,74,prior
83,5,3,75,prior
84,5,3,76,prior
85,5,3,77,prior
86,5,3,78,prior
87,5,3,79,prior
88,5,4,80,train
89,5,4,81,train
90,5,4,82,train
91,5,4,83,train
92,5,4,84,train
93,6,1,85,prior
94,6,1,86,prior
95,6,1,87,prior
96,6,1,88,prior
97,6,1,89,prior
98,6,1,90,prior
99,6,1,91,prior
100,6,1,92,prior
101,6,1,93,prior
102,6,1,94,prior
103,6,1,95,prior
104,6,1,96,prior
105,6,1,97,prior
106,6,1,98,prior
107,6,1,99,prior
108,6,1,100,prior
109,6,1,101,prior
110,6,1,102,prior
111,6,1,103,prior
112,6,1,104,prior
113,6,1,105,prior
114,6,1,106,prior
115,6,1,107,prior
116,6,1,108,prior
117,6,1,109,prior
118,6,1,110,prior
119,6,1,111,prior
120,6,1,112,prior
121,6,1,113,prior
122,6,1,114,prior
123,6,1,115,prior
124,6,1,116,prior
125,6,1,117,prior
126,6,1,118,prior
127,6,1,119,prior
128,6,1,120,prior
129,6,2,121,prior
130,6,2,122,prior
131,6,2,123,prior
133,6,2,124,prior
134,6,2,125,prior
135,6,2,126,prior
136,6,2,127,prior
137,6,2,128,prior
138,6,2,129,prior
139,6,2,130,prior
140,6,2,131,prior
141,6,2,132,prior
142,6,2,133,prior
