user_id,order_number,product_id
1,1,0
1,1,1
1,1,2
1,1,3
1,1,4
1,1,5
1,1,6
1,1,7
1,1,8
1,1,9
1,1,10
1,1,11
1,2,12
1,2,13
1,2,14
1,2,15
1,3,16
1,3,17
1,3,18
1,3,19
1,3,2
1,3,20
1,3,21
1,4,22
1,4,23
1,4,24
1,5,25
1,5,4
1,5,26
1,5,27
1,5,9
1,5,28
1,5,29
1,5,30
1,6,31
1,7,32
1,7,33
1,7,34
1,7,0
1,7,19
1,7,35
1,7,7
1,7,9
1,7,14
1,8,22
1,8,36
1,9,37
1,9,38
1,9,39
1,10,32
1,10,40
1,10,41
1,10,42
1,10,20
1,10,43
1,10,27
1,10,44
1,10,45
1,10,28
2,1,47
2,1,48
2,1,49
2,1,50
2,2,51
2,2,52
2,2,53
2,2,54
2,3,51
2,3,55
2,3,56
2,3,57
2,3,58
2,4,59
2,5,60
2,5,61
2,5,50
2,5,62
2,5,63
2,5,64
2,5,65
2,5,66
2,5,67
2,5,68
2,5,55
2,5,69
2,5,70
2,5,71
2,6,50
2,6,63
2,6,64
2,6,72
2,6,73
2,6,74
2,6,65
2,6,51
2,6,75
2,6,14
2,6,76
2,7,77
2,8,51
2,8,78
2,8,79
2,9,47
2,9,80
2,9,81
2,9,82
2,9,83
2,9,50
2,9,84
2,9,85
2,9,59
2,9,65
2,9,66
2,9,86
2,9,87
2,9,55
2,9,88
2,9,14
2,10,89
2,11,90
2,11,62
2,12,91
2,12,55
2,12,70
2,12,14
2,12,90
2,13,83
2,13,92
2,13,50
2,13,85
2,13,93
2,13,59
2,13,94
2,13,65
2,13,95
2,13,68
2,13,77
2,13,96
2,13,97
2,13,71
2,14,98
2,14,99
2,14,77
2,15,100
2,15,50
2,15,101
2,15,102
2,15,85
2,15,103
2,15,104
2,15,95
2,15,51
2,15,105
2,15,55
2,15,106
2,15,107
2,15,108
2,16,51
2,16,109
2,17,47
2,17,80
2,17,110
2,17,50
2,17,84
2,17,111
2,17,65
2,17,95
2,17,51
2,17,112
2,17,113
2,17,67
2,17,114
2,17,55
2,17,115
2,17,71
2,17,116
2,17,117
3,1,124
3,1,125
3,1,126
3,1,127
3,1,128
3,2,42
4,1,130
4,1,131
4,1,119
4,1,132
4,1,133
4,1,134
4,1,135
4,1,136
4,1,137
4,1,138
4,1,139
4,1,140
4,1,14
4,1,58
4,2,77
4,3,141
4,3,142
4,3,143
4,3,144
4,3,132
4,3,145
4,3,134
4,3,146
4,3,147
4,3,148
4,3,149
4,3,150
4,3,151
4,3,152
4,3,14
4,3,153
4,3,58
4,4,154
4,4,155
4,4,156
4,4,157
4,4,158
4,4,159
4,4,160
4,4,161
4,4,162
4,4,163
4,4,164
4,4,165
4,4,77
4,4,58
4,4,14
4,4,166
4,4,64
4,4,167
4,4,168
4,4,169
4,4,170
4,5,77
4,5,136
4,6,42
4,6,146
4,6,77
4,6,14
4,6,170
4,7,143
4,7,171
4,7,172
4,7,133
4,7,173
4,7,174
4,7,132
4,7,136
4,7,175
4,7,176
4,7,159
4,7,123
4,7,119
4,7,177
4,7,152
4,7,14
4,7,178
4,7,148
4,7,169
4,7,150
4,7,179
4,8,133
4,8,180
4,8,181
4,8,182
4,8,183
4,8,98
4,8,184
4,8,157
4,8,185
4,8,186
4,8,119
4,8,7
4,8,58
4,8,14
4,8,166
4,8,187
4,8,64
4,8,188
4,8,169
4,8,170
4,9,42
4,10,189
4,10,171
4,10,172
4,10,190
4,10,191
4,10,155
4,10,192
4,10,133
4,10,193
4,10,194
4,10,195
4,10,196
4,10,42
4,10,197
4,10,14
4,10,198
4,10,199
4,10,179
4,10,170
5,1,203
